Key,Value,Description
ACCOUNTS_RECEIVABLE,11030101,CLIENTES NACIONALES
ACCOUNTS_PAYABLE,21020101,PROVEEDOR 1
VAT_PAYABLE,21060101,IVA DEBITO FISCAL - CONTRIBUYENTES
VAT_RECEIVABLE,11070101,CREDITO FISCAL- COMPRA LOCAL
WITHHOLDING_PAYABLE,210608,PAGO A CUENTA RETENIDO A PROVEEDORES 1.5%
WITHHOLDING_RECEIVABLE,11070204,IMPUESTO RETENIDO - RENTA
CASH,11010101,CAJA GENERAL
BANK,11010201,BANCO CUSCATLAN CTA#
COST_OF_SALES_PRODUCT_1,41010111,COSTO DE VENTA PRODUCTO 1
COST_OF_SALES_PRODUCT_2,41010112,COSTO DE VENTA PRODUCTO 2
INVENTORY_PRODUCT_1,1105010201,INVENTARIO PRODUCTO 1
INVENTORY_PRODUCT_2,1105010202,INVENTARIO PRODUCTO 2
SALES_PRODUCT_1,51010101,VENTA DE PRODUCTO 1
SALES_PRODUCT_2,51010102,VENTA DE PRODUCTO 2
